asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,sales_volume_clean,has_discounts
B09VD33WHW,samsung galaxy s22 ultra 5g unlocked - 128gb - black (renewed),389.0,389.0,3.9,3876,34,339.0,False,False,False,False,1K+ bought in past month,True,1000.0,False
B0B8F1S1XG,"at&amp;t cl82219 dect 6.0 2-handset cordless phone for home with answering machine, call blocking, caller id announcer, intercom and long range, black",51.6,65.95,4.3,574,6,27.67,False,False,True,False,500+ bought in past month,False,500.0,True
B0CD8YMKWC,"samsung galaxy s23 fe cell phone, 256gb, unlocked android smartphone, long battery life, premium processor, tough gorilla glass display, hi-res 50mp camera, us version, 2023, cream",559.99,659.99,4.5,1159,2,451.85,False,False,True,True,100+ bought in past month,True,100.0,True
B0D96WTMNT,"samsung galaxy a15 5g (sm-156m/dsn), 128gb 6gb ram, dual sim, factory unlocked gsm, international version (wall charger bundle) (blue)",162.5,162.5,4.3,42,5,127.7,False,False,True,False,500+ bought in past month,True,500.0,False
B096YK3RN9,"samsung galaxy s21+ plus g996u| fully unlocked android cell phone | us version 5g smartphone | pro-grade camera, 8k video, 64mp high res | 128gb - phantom silver - (renewed)",246.0,246.0,4.0,1340,21,187.0,False,False,False,True,100+ bought in past month,True,100.0,False
B0BTTQGVVW,"cat s22 flip (16gb) 2.8&quot; touchscreen, android 11, ip68 water resistant, 4g lte gsm (t-mobile unlocked for metropcs, global) (black)",64.94,64.94,3.9,1492,9,49.9,False,False,False,False,1K+ bought in past month,False,1000.0,False
B0BHHJV7W9,"at&amp;t cl82507 dect 6.0 5-handset cordless phone for home with answering machine, call blocking, caller id announcer, intercom and long range, silver (cl82507)",117.77,117.77,4.3,20608,4,57.19,False,False,True,False,500+ bought in past month,False,500.0,False
B0DB88HK1Z,reno 11 pro unlocked android phone 6.7-inch hd lcd unlocked cell phone 8gb+256gb android 13 smartphone 6000 mah large battery unlocked phone 50mp+13mp camera dual sim (rock grey),99.99,119.99,2.8,6,1,99.99,False,False,True,False,List: ,True,,True
B0BP8GMBPF,oneplus 10t | moonstone black | 5g unlocked android smartphone u.s version | 8gb ram+128gb storage (renewed),204.95,389.0,3.8,73,1,204.95,False,False,True,False,200+ bought in past month,False,200.0,True
B0D6YZ4PQB,"cubot kingkong x rugged smartphone 5g- 32gb ram+512gb rom cell phones, 10200mah battery, 100mp camera, 6.58&quot; fhd+1.85&quot; dual screen, ip68/ip69k phone unlocked, 5g dual sim android 14 phone, nfc/gps/otg",399.99,399.99,4.1,56,1,399.99,False,False,True,False,50+ bought in past month,False,50.0,False
B0CBNMDSTH,tcl flip 4056w 4gb 4g unlocked gsm flip phone - for senior easy use gray,62.99,62.99,3.6,15,1,62.99,False,False,False,False,,False,,False
